上海电信-组播1,#genre#
BesTV4K电影,http://rongrong.synology.me:14022/rtp/233.18.204.169:5140
BesTV4K记录,http://rongrong.synology.me:14022/rtp/233.18.204.170:5140
BesTV百视通,http://rongrong.synology.me:14022/rtp/233.18.204.116:5140
BesTV直播10,http://rongrong.synology.me:14022/rtp/233.18.204.160:5140
北京卡酷少儿,http://rongrong.synology.me:14022/rtp/233.18.204.152:5140
北京卡酷少儿,http://rongrong.synology.me:14022/rtp/233.18.204.109:5140
上海动漫秀场,http://rongrong.synology.me:14022/rtp/233.18.204.46:5140
上海动漫秀场,http://rongrong.synology.me:14022/rtp/233.18.204.54:5140
上海游戏风云,http://rongrong.synology.me:14022/rtp/233.18.204.13:5140
上海游戏风云,http://rongrong.synology.me:14022/rtp/233.18.204.44:5140
上海乐游,http://rongrong.synology.me:14022/rtp/233.18.204.47:5140
上海法治天地,http://rongrong.synology.me:14022/rtp/233.18.204.12:5140
上海法治天地,http://rongrong.synology.me:14022/rtp/233.18.204.49:5140
上海都市剧场,http://rongrong.synology.me:14022/rtp/233.18.204.48:5140
上海多彩文体4K,http://rongrong.synology.me:14022/rtp/233.18.204.205:5140
上海多彩文体4K,http://rongrong.synology.me:14022/rtp/233.18.204.50:5140
上海多彩文体4K,http://rongrong.synology.me:14022/rtp/233.18.204.55:5140
上海多彩文体4K,http://rongrong.synology.me:14022/rtp/233.18.204.115:5140
上海金色学堂,http://rongrong.synology.me:14022/rtp/233.18.204.14:5140
上海金色学堂,http://rongrong.synology.me:14022/rtp/233.18.204.66:5140
上海生活时尚,http://rongrong.synology.me:14022/rtp/233.18.204.45:5140
上海第一财经,http://rongrong.synology.me:14022/rtp/233.18.204.5:5140
上海第一财经,http://rongrong.synology.me:14022/rtp/233.18.204.59:5140
上海第一财经,http://rongrong.synology.me:14022/rtp/233.18.204.65:5140
上海东方影视,http://rongrong.synology.me:14022/rtp/233.18.204.4:5140
上海哈哈炫动,http://rongrong.synology.me:14022/rtp/233.18.204.7:5140
上海五星体育,http://rongrong.synology.me:14022/rtp/233.18.204.6:5140
上海五星体育,http://rongrong.synology.me:14022/rtp/233.18.204.58:5140
江苏财富天下,http://rongrong.synology.me:14022/rtp/233.18.204.41:5140
江苏财富天下,http://rongrong.synology.me:14022/rtp/233.18.204.157:5140
江苏财富天下,http://rongrong.synology.me:14022/rtp/233.18.204.231:5140
湖北快乐垂钓,http://rongrong.synology.me:14022/rtp/233.18.204.42:5140
湖南金鹰纪实,http://rongrong.synology.me:14022/rtp/233.18.204.104:5140
湖南金鹰卡通,http://rongrong.synology.me:14022/rtp/233.18.204.113:5140
湖南金鹰卡通,http://rongrong.synology.me:14022/rtp/233.18.204.150:5140
广东嘉佳卡通,http://rongrong.synology.me:14022/rtp/233.18.204.151:5140

央视精品,http://rongrong.synology.me:14022/rtp/233.18.204.186:5140
新闻综合,http://rongrong.synology.me:14022/rtp/233.18.204.57:5140
新闻综合,http://rongrong.synology.me:14022/rtp/233.18.204.189:5140
未知格式 SD,http://rongrong.synology.me:14022/rtp/233.18.204.206:5140
未知格式 SD,http://rongrong.synology.me:14022/rtp/233.18.204.207:5140
电信内部测试,http://rongrong.synology.me:14022/rtp/233.18.204.202:5140
电信内部测试 SD,http://rongrong.synology.me:14022/rtp/233.18.204.203:5140
节目中断 SD,http://rongrong.synology.me:14022/rtp/233.18.204.208:5140
节目中断 SD,http://rongrong.synology.me:14022/rtp/233.18.204.216:5140
都市频道,http://rongrong.synology.me:14022/rtp/233.18.204.2:5140
高网频道,http://rongrong.synology.me:14022/rtp/233.18.204.181:5140

上海电信-组播5,#genre#
东方卫视,http://youngx.top:4022/rtp/233.18.204.1:5140
东方卫视,http://youngx.top:4022/rtp/233.18.204.51:5140
东方卫视4K,http://youngx.top:4022/rtp/233.18.204.224:5140

上海教育,http://youngx.top:4022/rtp/233.18.204.11:5140
上海教育HD,http://youngx.top:4022/rtp/233.18.204.63:5140
上海都市HD,http://youngx.top:4022/rtp/233.18.204.53:5140

CCTV-1综合,http://youngx.top:4022/rtp/233.18.204.20:5140
CCTV-1综合,http://youngx.top:4022/rtp/233.18.204.52:5140
CCTV-1综合,http://youngx.top:4022/rtp/233.18.204.168:5140
CCTV-2财经,http://youngx.top:4022/rtp/233.18.204.21:5140
CCTV-2财经,http://youngx.top:4022/rtp/233.18.204.68:5140
CCTV-3综艺,http://youngx.top:4022/rtp/233.18.204.22:5140
CCTV-3综艺,http://youngx.top:4022/rtp/233.18.204.69:5140
CCTV-4中文国际,http://youngx.top:4022/rtp/233.18.204.23:5140
CCTV-4中文国际,http://youngx.top:4022/rtp/233.18.204.70:5140
CCTV-5体育,http://youngx.top:4022/rtp/233.18.204.24:5140
CCTV-5体育,http://youngx.top:4022/rtp/233.18.204.71:5140
CCTV-5体育,http://youngx.top:4022/rtp/233.18.204.72:5140
CCTV-5+体育赛事,http://youngx.top:4022/rtp/233.18.204.67:5140
CCTV-6电影,http://youngx.top:4022/rtp/233.18.204.25:5140
CCTV-7国防军事,http://youngx.top:4022/rtp/233.18.204.26:5140
CCTV-7国防军事,http://youngx.top:4022/rtp/233.18.204.73:5140
CCTV-8电视剧,http://youngx.top:4022/rtp/233.18.204.27:5140
CCTV-8电视剧,http://youngx.top:4022/rtp/233.18.204.74:5140
CCTV-9纪录,http://youngx.top:4022/rtp/233.18.204.40:5140
CCTV-9纪录,http://youngx.top:4022/rtp/233.18.204.75:5140
CCTV-10科教,http://youngx.top:4022/rtp/233.18.204.29:5140
CCTV-10科教,http://youngx.top:4022/rtp/233.18.204.76:5140
CCTV-11戏曲,http://youngx.top:4022/rtp/233.18.204.30:5140
CCTV-11戏曲,http://youngx.top:4022/rtp/233.18.204.77:5140
CCTV-12社会与法,http://youngx.top:4022/rtp/233.18.204.31:5140
CCTV-12社会与法,http://youngx.top:4022/rtp/233.18.204.78:5140
CCTV-13新闻,http://youngx.top:4022/rtp/233.18.204.32:5140
CCTV-13新闻,http://youngx.top:4022/rtp/233.18.204.79:5140
CCTV-14少儿,http://youngx.top:4022/rtp/233.18.204.33:5140
CCTV-14少儿,http://youngx.top:4022/rtp/233.18.204.80:5140
CCTV-15音乐,http://youngx.top:4022/rtp/233.18.204.34:5140
CCTV-15音乐,http://youngx.top:4022/rtp/233.18.204.81:5140
CCTV-16奥林匹克,http://youngx.top:4022/rtp/233.18.204.82:5140
CCTV-17农业农村,http://youngx.top:4022/rtp/233.18.204.35:5140
CCTV-17农业农村,http://youngx.top:4022/rtp/233.18.204.83:5140
CCTV4K超高清,http://youngx.top:4022/rtp/233.18.204.204:5140
CCTV4K(SDR),http://youngx.top:4022/rtp/233.18.204.188:5140
CCTV16超高清,http://youngx.top:4022/rtp/233.18.204.114:5140
CCTV16超高清,http://youngx.top:4022/rtp/233.18.204.215:5140
湖南卫视,http://youngx.top:4022/rtp/233.18.204.86:5140
湖南卫视,http://youngx.top:4022/rtp/233.18.204.119:5140
浙江卫视,http://youngx.top:4022/rtp/233.18.204.84:5140
浙江卫视,http://youngx.top:4022/rtp/233.18.204.121:5140
江苏卫视,http://youngx.top:4022/rtp/233.18.204.85:5140
江苏卫视,http://youngx.top:4022/rtp/233.18.204.120:5140
北京卫视,http://youngx.top:4022/rtp/233.18.204.87:5140
北京卫视,http://youngx.top:4022/rtp/233.18.204.118:5140
安徽卫视,http://youngx.top:4022/rtp/233.18.204.93:5140
安徽卫视,http://youngx.top:4022/rtp/233.18.204.127:5140
广东卫视,http://youngx.top:4022/rtp/233.18.204.88:5140
广东卫视,http://youngx.top:4022/rtp/233.18.204.138:5140
深圳卫视,http://youngx.top:4022/rtp/233.18.204.89:5140
深圳卫视,http://youngx.top:4022/rtp/233.18.204.146:5140
辽宁卫视,http://youngx.top:4022/rtp/233.18.204.96:5140
辽宁卫视,http://youngx.top:4022/rtp/233.18.204.126:5140
山东卫视,http://youngx.top:4022/rtp/233.18.204.91:5140
山东卫视,http://youngx.top:4022/rtp/233.18.204.125:5140
天津卫视,http://youngx.top:4022/rtp/233.18.204.97:5140
天津卫视,http://youngx.top:4022/rtp/233.18.204.129:5140
重庆卫视,http://youngx.top:4022/rtp/233.18.204.100:5140
重庆卫视,http://youngx.top:4022/rtp/233.18.204.143:5140
东南卫视,http://youngx.top:4022/rtp/233.18.204.94:5140
河北卫视,http://youngx.top:4022/rtp/233.18.204.103:5140
河北卫视,http://youngx.top:4022/rtp/233.18.204.140:5140
河南卫视,http://youngx.top:4022/rtp/233.18.204.105:5140
河南卫视,http://youngx.top:4022/rtp/233.18.204.145:5140
湖北卫视,http://youngx.top:4022/rtp/233.18.204.92:5140
湖北卫视,http://youngx.top:4022/rtp/233.18.204.142:5140
陕西卫视,http://youngx.top:4022/rtp/233.18.204.135:5140
陕西卫视,http://youngx.top:4022/rtp/233.18.204.223:5140
四川卫视,http://youngx.top:4022/rtp/233.18.204.99:5140
四川卫视,http://youngx.top:4022/rtp/233.18.204.124:5140
海南卫视,http://youngx.top:4022/rtp/233.18.204.102:5140
海南卫视,http://youngx.top:4022/rtp/233.18.204.122:5140
甘肃卫视,http://youngx.top:4022/rtp/233.18.204.110:5140
甘肃卫视,http://youngx.top:4022/rtp/233.18.204.137:5140
广西卫视,http://youngx.top:4022/rtp/233.18.204.107:5140
广西卫视,http://youngx.top:4022/rtp/233.18.204.123:5140
贵州卫视,http://youngx.top:4022/rtp/233.18.204.101:5140
贵州卫视,http://youngx.top:4022/rtp/233.18.204.144:5140
黑龙江卫视,http://youngx.top:4022/rtp/233.18.204.90:5140
黑龙江卫视,http://youngx.top:4022/rtp/233.18.204.139:5140
江西卫视,http://youngx.top:4022/rtp/233.18.204.95:5140
江西卫视,http://youngx.top:4022/rtp/233.18.204.130:5140
吉林卫视,http://youngx.top:4022/rtp/233.18.204.108:5140
吉林卫视,http://youngx.top:4022/rtp/233.18.204.131:5140
内蒙古卫视,http://youngx.top:4022/rtp/233.18.204.141:5140
内蒙古卫视,http://youngx.top:4022/rtp/233.18.204.217:5140
宁夏卫视,http://youngx.top:4022/rtp/233.18.204.117:5140
宁夏卫视,http://youngx.top:4022/rtp/233.18.204.230:5140
山西卫视,http://youngx.top:4022/rtp/233.18.204.132:5140
山西卫视,http://youngx.top:4022/rtp/233.18.204.211:5140
新疆卫视,http://youngx.top:4022/rtp/233.18.204.147:5140
新疆卫视,http://youngx.top:4022/rtp/233.18.204.220:5140
云南卫视,http://youngx.top:4022/rtp/233.18.204.106:5140
云南卫视,http://youngx.top:4022/rtp/233.18.204.128:5140
云南卫视,http://youngx.top:4022/rtp/233.18.204.136:5140
青海卫视,http://youngx.top:4022/rtp/233.18.204.112:5140
青海卫视,http://youngx.top:4022/rtp/233.18.204.133:5140
西藏卫视,http://youngx.top:4022/rtp/233.18.204.134:5140
西藏卫视,http://youngx.top:4022/rtp/233.18.204.222:5140
兵团卫视,http://youngx.top:4022/rtp/233.18.204.148:5140
兵团卫视,http://youngx.top:4022/rtp/233.18.204.221:5140
三沙卫视,http://youngx.top:4022/rtp/233.18.204.149:5140
三沙卫视,http://youngx.top:4022/rtp/233.18.204.172:5140
延边卫视,http://youngx.top:4022/rtp/233.18.204.155:5140
湖南卫视4K,http://youngx.top:4022/rtp/233.18.204.210:5140
湖南卫视4K,http://youngx.top:4022/rtp/233.18.204.227:5140
浙江卫视4K,http://youngx.top:4022/rtp/233.18.204.229:5140
江苏卫视4K,http://youngx.top:4022/rtp/233.18.204.226:5140
北京卫视4K,http://youngx.top:4022/rtp/233.18.204.209:5140
广东卫视4K,http://youngx.top:4022/rtp/233.18.204.218:5140
深圳卫视4K,http://youngx.top:4022/rtp/233.18.204.219:5140
山东卫视4K,http://youngx.top:4022/rtp/233.18.204.228:5140
四川卫视4K,http://youngx.top:4022/rtp/233.18.204.225:5140
CCTV-风云足球,http://youngx.top:4022/rtp/233.18.204.176:5140
CCTV-风云音乐,http://youngx.top:4022/rtp/233.18.204.185:5140
CCTV-第一剧场,http://youngx.top:4022/rtp/233.18.204.184:5140
CCTV-怀旧剧场,http://youngx.top:4022/rtp/233.18.204.182:5140
CCTV-风云剧场,http://youngx.top:4022/rtp/233.18.204.183:5140
CCTV-世界地理,http://youngx.top:4022/rtp/233.18.204.179:5140
CCTV-兵器科技,http://youngx.top:4022/rtp/233.18.204.178:5140
CCTV-女性时尚,http://youngx.top:4022/rtp/233.18.204.180:5140
CCTV-央视台球,http://youngx.top:4022/rtp/233.18.204.177:5140
CGTN英语,http://youngx.top:4022/rtp/233.18.204.28:5140
CETV早期教育,http://youngx.top:4022/rtp/233.18.204.187:5140
CETV-1综合教育,http://youngx.top:4022/rtp/233.18.204.98:5140
CETV-1综合教育,http://youngx.top:4022/rtp/233.18.204.153:5140
CETV-2空中课堂,http://youngx.top:4022/rtp/233.18.204.154:5140
CETV-4职业教育,http://youngx.top:4022/rtp/233.18.204.111:5140
CHC家庭影院,http://youngx.top:4022/rtp/233.18.204.173:5140
CHC影迷电影,http://youngx.top:4022/rtp/233.18.204.175:5140
CHC动作电影,http://youngx.top:4022/rtp/233.18.204.174:5140
BesTV,http://youngx.top:4022/rtp/233.18.204.161:5140
BesTV,http://youngx.top:4022/rtp/233.18.204.162:5140
BesTV,http://youngx.top:4022/rtp/233.18.204.163:5140
BesTV,http://youngx.top:4022/rtp/233.18.204.164:5140
BesTV,http://youngx.top:4022/rtp/233.18.204.165:5140
BesTV,http://youngx.top:4022/rtp/233.18.204.166:5140
BesTV,http://youngx.top:4022/rtp/233.18.204.167:5140
BesTV Live,http://youngx.top:4022/rtp/233.18.204.158:5140
BesTV Live,http://youngx.top:4022/rtp/233.18.204.159:5140
BesTV4K动画,http://youngx.top:4022/rtp/233.18.204.171:5140
BesTV4K测试,http://youngx.top:4022/rtp/233.18.204.201:5140
BesTV4K电影,http://youngx.top:4022/rtp/233.18.204.169:5140
BesTV4K记录,http://youngx.top:4022/rtp/233.18.204.170:5140
BesTV百视通,http://youngx.top:4022/rtp/233.18.204.116:5140
BesTV直播10,http://youngx.top:4022/rtp/233.18.204.160:5140
北京卡酷少儿,http://youngx.top:4022/rtp/233.18.204.152:5140
北京卡酷少儿,http://youngx.top:4022/rtp/233.18.204.109:5140
上海动漫秀场,http://youngx.top:4022/rtp/233.18.204.46:5140
上海动漫秀场,http://youngx.top:4022/rtp/233.18.204.54:5140
上海游戏风云,http://youngx.top:4022/rtp/233.18.204.13:5140
上海游戏风云,http://youngx.top:4022/rtp/233.18.204.44:5140
上海乐游,http://youngx.top:4022/rtp/233.18.204.47:5140
上海法治天地,http://youngx.top:4022/rtp/233.18.204.12:5140
上海法治天地,http://youngx.top:4022/rtp/233.18.204.49:5140
上海都市剧场,http://youngx.top:4022/rtp/233.18.204.48:5140
上海多彩文体4K,http://youngx.top:4022/rtp/233.18.204.205:5140
上海多彩文体4K,http://youngx.top:4022/rtp/233.18.204.50:5140
上海多彩文体4K,http://youngx.top:4022/rtp/233.18.204.55:5140
上海多彩文体4K,http://youngx.top:4022/rtp/233.18.204.115:5140
上海金色学堂,http://youngx.top:4022/rtp/233.18.204.14:5140
上海金色学堂,http://youngx.top:4022/rtp/233.18.204.66:5140
上海生活时尚,http://youngx.top:4022/rtp/233.18.204.45:5140
上海第一财经,http://youngx.top:4022/rtp/233.18.204.5:5140
上海第一财经,http://youngx.top:4022/rtp/233.18.204.59:5140
上海第一财经,http://youngx.top:4022/rtp/233.18.204.65:5140
上海东方影视,http://youngx.top:4022/rtp/233.18.204.4:5140
上海哈哈炫动,http://youngx.top:4022/rtp/233.18.204.7:5140
上海五星体育,http://youngx.top:4022/rtp/233.18.204.6:5140
上海五星体育,http://youngx.top:4022/rtp/233.18.204.58:5140
江苏财富天下,http://youngx.top:4022/rtp/233.18.204.41:5140
江苏财富天下,http://youngx.top:4022/rtp/233.18.204.157:5140
江苏财富天下,http://youngx.top:4022/rtp/233.18.204.231:5140
湖北快乐垂钓,http://youngx.top:4022/rtp/233.18.204.42:5140
湖南金鹰纪实,http://youngx.top:4022/rtp/233.18.204.104:5140
湖南金鹰卡通,http://youngx.top:4022/rtp/233.18.204.113:5140
湖南金鹰卡通,http://youngx.top:4022/rtp/233.18.204.150:5140
广东嘉佳卡通,http://youngx.top:4022/rtp/233.18.204.151:5140

央视精品,http://youngx.top:4022/rtp/233.18.204.186:5140
新闻综合,http://youngx.top:4022/rtp/233.18.204.57:5140
新闻综合,http://youngx.top:4022/rtp/233.18.204.189:5140
未知格式 SD,http://youngx.top:4022/rtp/233.18.204.206:5140
未知格式 SD,http://youngx.top:4022/rtp/233.18.204.207:5140
电信内部测试,http://youngx.top:4022/rtp/233.18.204.202:5140
电信内部测试 SD,http://youngx.top:4022/rtp/233.18.204.203:5140
节目中断 SD,http://youngx.top:4022/rtp/233.18.204.208:5140
节目中断 SD,http://youngx.top:4022/rtp/233.18.204.216:5140
都市频道,http://youngx.top:4022/rtp/233.18.204.2:5140
高网频道,http://youngx.top:4022/rtp/233.18.204.181:5140

上海电信-组播6,#genre#
东方卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.1:5140
东方卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.51:5140
东方卫视4K,http://www.rogerxlj.top:9998/rtp/233.18.204.224:5140

上海教育,http://www.rogerxlj.top:9998/rtp/233.18.204.11:5140
上海教育HD,http://www.rogerxlj.top:9998/rtp/233.18.204.63:5140
上海都市HD,http://www.rogerxlj.top:9998/rtp/233.18.204.53:5140

CCTV-1综合,http://www.rogerxlj.top:9998/rtp/233.18.204.20:5140
CCTV-1综合,http://www.rogerxlj.top:9998/rtp/233.18.204.52:5140
CCTV-1综合,http://www.rogerxlj.top:9998/rtp/233.18.204.168:5140
CCTV-2财经,http://www.rogerxlj.top:9998/rtp/233.18.204.21:5140
CCTV-2财经,http://www.rogerxlj.top:9998/rtp/233.18.204.68:5140
CCTV-3综艺,http://www.rogerxlj.top:9998/rtp/233.18.204.22:5140
CCTV-3综艺,http://www.rogerxlj.top:9998/rtp/233.18.204.69:5140
CCTV-4中文国际,http://www.rogerxlj.top:9998/rtp/233.18.204.23:5140
CCTV-4中文国际,http://www.rogerxlj.top:9998/rtp/233.18.204.70:5140
CCTV-5体育,http://www.rogerxlj.top:9998/rtp/233.18.204.24:5140
CCTV-5体育,http://www.rogerxlj.top:9998/rtp/233.18.204.71:5140
CCTV-5体育,http://www.rogerxlj.top:9998/rtp/233.18.204.72:5140
CCTV-5+体育赛事,http://www.rogerxlj.top:9998/rtp/233.18.204.67:5140
CCTV-6电影,http://www.rogerxlj.top:9998/rtp/233.18.204.25:5140
CCTV-7国防军事,http://www.rogerxlj.top:9998/rtp/233.18.204.26:5140
CCTV-7国防军事,http://www.rogerxlj.top:9998/rtp/233.18.204.73:5140
CCTV-8电视剧,http://www.rogerxlj.top:9998/rtp/233.18.204.27:5140
CCTV-8电视剧,http://www.rogerxlj.top:9998/rtp/233.18.204.74:5140
CCTV-9纪录,http://www.rogerxlj.top:9998/rtp/233.18.204.40:5140
CCTV-9纪录,http://www.rogerxlj.top:9998/rtp/233.18.204.75:5140
CCTV-10科教,http://www.rogerxlj.top:9998/rtp/233.18.204.29:5140
CCTV-10科教,http://www.rogerxlj.top:9998/rtp/233.18.204.76:5140
CCTV-11戏曲,http://www.rogerxlj.top:9998/rtp/233.18.204.30:5140
CCTV-11戏曲,http://www.rogerxlj.top:9998/rtp/233.18.204.77:5140
CCTV-12社会与法,http://www.rogerxlj.top:9998/rtp/233.18.204.31:5140
CCTV-12社会与法,http://www.rogerxlj.top:9998/rtp/233.18.204.78:5140
CCTV-13新闻,http://www.rogerxlj.top:9998/rtp/233.18.204.32:5140
CCTV-13新闻,http://www.rogerxlj.top:9998/rtp/233.18.204.79:5140
CCTV-14少儿,http://www.rogerxlj.top:9998/rtp/233.18.204.33:5140
CCTV-14少儿,http://www.rogerxlj.top:9998/rtp/233.18.204.80:5140
CCTV-15音乐,http://www.rogerxlj.top:9998/rtp/233.18.204.34:5140
CCTV-15音乐,http://www.rogerxlj.top:9998/rtp/233.18.204.81:5140
CCTV-16奥林匹克,http://www.rogerxlj.top:9998/rtp/233.18.204.82:5140
CCTV-17农业农村,http://www.rogerxlj.top:9998/rtp/233.18.204.35:5140
CCTV-17农业农村,http://www.rogerxlj.top:9998/rtp/233.18.204.83:5140
CCTV4K超高清,http://www.rogerxlj.top:9998/rtp/233.18.204.204:5140
CCTV4K(SDR),http://www.rogerxlj.top:9998/rtp/233.18.204.188:5140
CCTV16超高清,http://www.rogerxlj.top:9998/rtp/233.18.204.114:5140
CCTV16超高清,http://www.rogerxlj.top:9998/rtp/233.18.204.215:5140
湖南卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.86:5140
湖南卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.119:5140
浙江卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.84:5140
浙江卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.121:5140
江苏卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.85:5140
江苏卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.120:5140
北京卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.87:5140
北京卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.118:5140
安徽卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.93:5140
安徽卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.127:5140
广东卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.88:5140
广东卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.138:5140
深圳卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.89:5140
深圳卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.146:5140
辽宁卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.96:5140
辽宁卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.126:5140
山东卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.91:5140
山东卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.125:5140
天津卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.97:5140
天津卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.129:5140
重庆卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.100:5140
重庆卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.143:5140
东南卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.94:5140
河北卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.103:5140
河北卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.140:5140
河南卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.105:5140
河南卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.145:5140
湖北卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.92:5140
湖北卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.142:5140
陕西卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.135:5140
陕西卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.223:5140
四川卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.99:5140
四川卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.124:5140
海南卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.102:5140
海南卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.122:5140
甘肃卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.110:5140
甘肃卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.137:5140
广西卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.107:5140
广西卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.123:5140
贵州卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.101:5140
贵州卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.144:5140
黑龙江卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.90:5140
黑龙江卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.139:5140
江西卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.95:5140
江西卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.130:5140
吉林卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.108:5140
吉林卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.131:5140
内蒙古卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.141:5140
内蒙古卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.217:5140
宁夏卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.117:5140
宁夏卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.230:5140
山西卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.132:5140
山西卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.211:5140
新疆卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.147:5140
新疆卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.220:5140
云南卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.106:5140
云南卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.128:5140
云南卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.136:5140
青海卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.112:5140
青海卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.133:5140
西藏卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.134:5140
西藏卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.222:5140
兵团卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.148:5140
兵团卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.221:5140
三沙卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.149:5140
三沙卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.172:5140
延边卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.155:5140
湖南卫视4K,http://www.rogerxlj.top:9998/rtp/233.18.204.210:5140
湖南卫视4K,http://www.rogerxlj.top:9998/rtp/233.18.204.227:5140
浙江卫视4K,http://www.rogerxlj.top:9998/rtp/233.18.204.229:5140
江苏卫视4K,http://www.rogerxlj.top:9998/rtp/233.18.204.226:5140
北京卫视4K,http://www.rogerxlj.top:9998/rtp/233.18.204.209:5140
广东卫视4K,http://www.rogerxlj.top:9998/rtp/233.18.204.218:5140
深圳卫视4K,http://www.rogerxlj.top:9998/rtp/233.18.204.219:5140
山东卫视4K,http://www.rogerxlj.top:9998/rtp/233.18.204.228:5140
四川卫视4K,http://www.rogerxlj.top:9998/rtp/233.18.204.225:5140
CCTV-风云足球,http://www.rogerxlj.top:9998/rtp/233.18.204.176:5140
CCTV-风云音乐,http://www.rogerxlj.top:9998/rtp/233.18.204.185:5140
CCTV-第一剧场,http://www.rogerxlj.top:9998/rtp/233.18.204.184:5140
CCTV-怀旧剧场,http://www.rogerxlj.top:9998/rtp/233.18.204.182:5140
CCTV-风云剧场,http://www.rogerxlj.top:9998/rtp/233.18.204.183:5140
CCTV-世界地理,http://www.rogerxlj.top:9998/rtp/233.18.204.179:5140
CCTV-兵器科技,http://www.rogerxlj.top:9998/rtp/233.18.204.178:5140
CCTV-女性时尚,http://www.rogerxlj.top:9998/rtp/233.18.204.180:5140
CCTV-央视台球,http://www.rogerxlj.top:9998/rtp/233.18.204.177:5140
CGTN英语,http://www.rogerxlj.top:9998/rtp/233.18.204.28:5140
CETV早期教育,http://www.rogerxlj.top:9998/rtp/233.18.204.187:5140
CETV-1综合教育,http://www.rogerxlj.top:9998/rtp/233.18.204.98:5140
CETV-1综合教育,http://www.rogerxlj.top:9998/rtp/233.18.204.153:5140
CETV-2空中课堂,http://www.rogerxlj.top:9998/rtp/233.18.204.154:5140
CETV-4职业教育,http://www.rogerxlj.top:9998/rtp/233.18.204.111:5140
CHC家庭影院,http://www.rogerxlj.top:9998/rtp/233.18.204.173:5140
CHC影迷电影,http://www.rogerxlj.top:9998/rtp/233.18.204.175:5140
